0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117389 200 in 1ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117374 200 in 1ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 1ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 1ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117373 200 in 1ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117370 200 in 0ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117348 200 in 0ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117332 200 in 1ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117312 200 in 1ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 1ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117309 200 in 0ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites/1/18117302 200 in 0ms :: {"isFavorite":false}
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 1ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 1ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
0|jlg-licita  | 3:08:35 PM [express] GET /api/favorites 200 in 0ms :: [{"id":1,"conlicitacao_id":17942339,"orgao_nom…
